Part Name,Manufacturer Part Number:,Year,Make,Model,Fuel type,Body type,kW,HP,Engine capacity
2010 Alfa Romeo Giulietta Complete Clutch Kit,,2010,Alfa Romeo,Giulietta,Petrol,Hatchback,,116,1.4 (1368cm³)
1999 Alfa Romeo 166 Rear Seat Belt 043146,043146,1999,Alfa Romeo,166,Petrol,Saloon,166,226,3.0 (2959cm³)
2011 Alfa Romeo Giulietta Throttle Body 55229467,55229467,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2010 Alfa Romeo MiTo Front Driveshaft 55700559,55700559,2010,Alfa Romeo,MiTo,Petrol,Hatchback,,,1.4 (1368cm³)
1999 Alfa Romeo 166 Rear Door Exterior Handle,,1999,Alfa Romeo,166,Petrol,Saloon,166,226,3.0 (2959cm³)
2010 Alfa Romeo MiTo Front Brake Caliper,,2010,Alfa Romeo,MiTo,Diesel,Hatchback,,120,1.6 (1598cm³)
2007 Alfa Romeo Brera EGR Valve 46823850,46823850,2007,Alfa Romeo,Brera,Diesel,Hatchback,154,210,2.4 (2387cm³)
2004 Alfa Romeo 147 Headlight Level Height Adjustment Switch Button 735304164,735304164,2004,Alfa Romeo,147,Diesel,Hatchback,,115,1.9 (1910cm³)
2011 Alfa Romeo Giulietta Rear Roof Reading Light 156091941,156091941,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2001 Alfa Romeo Spider Ignition Coil 1227030071,1227030071,2001,Alfa Romeo,Spider,Petrol,Convertible,110,150,2.0 (1970cm³)
2011 Alfa Romeo Giulietta Rear Subframe,,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2007 Alfa Romeo 159 Steering Wheel Air SRS Bag 156061211,156061211,2007,Alfa Romeo,159,Diesel,Saloon,,115,1.9 (1910cm³)
2009 Alfa Romeo MiTo Fuel Tank Cap Lock 039491829,039491829,2009,Alfa Romeo,MiTo,Petrol,Hatchback,,,1.4 (1368cm³)
2006 Alfa Romeo 159 EGR Valve 722946330,722946330,2006,Alfa Romeo,159,Diesel,Saloon,,120,1.9 (1910cm³)
2001 Alfa Romeo 145 Wheel Center Cap Hub Trim Cover -,-,2001,Alfa Romeo,145,Petrol,Hatchback,110,150,2.0 (1970cm³)
2010 Alfa Romeo MiTo Engine Control Module Unit 51865263,51865263,2010,Alfa Romeo,MiTo,Diesel,Hatchback,,120,1.6 (1598cm³)
2000 Alfa Romeo 156 Power Steering Pump 26064414-FJ,26064414-FJ,2000,Alfa Romeo,156,Diesel,Saloon,,105,1.9 (1910cm³)
2007 Alfa Romeo 147 Hands Free Microphone 000051473A,000051473A,2007,Alfa Romeo,147,Diesel,Hatchback,,120,1.9 (1910cm³)
2010 Alfa Romeo MiTo Rear Seat Belt Buckle 156080955,156080955,2010,Alfa Romeo,MiTo,Petrol,Hatchback,,,1.4 (1368cm³)
2001 Alfa Romeo Spider A/C Air Conditioning Compressor Pump 60653652,60653652,2001,Alfa Romeo,Spider,Petrol,Convertible,110,150,2.0 (1970cm³)
2012 Alfa Romeo Giulietta Master Brake Cylinder 3508-9052,3508-9052,2012,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2009 Alfa Romeo MiTo Complete Clutch Kit 46470371,46470371,2009,Alfa Romeo,MiTo,Petrol,Hatchback,,,1.4 (1368cm³)
2011 Alfa Romeo Giulietta Rear Door Lock 50509887,50509887,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2005 Alfa Romeo 147 Air Intake Manifold,,2005,Alfa Romeo,147,Petrol,Hatchback,110,150,2.0 (1970cm³)
2004 Alfa Romeo 147 Starter Motor Wiring Loom 51730099,51730099,2004,Alfa Romeo,147,Petrol,Hatchback,110,150,2.0 (1970cm³)
1999 Alfa Romeo 166 Front Seat Belt 043087,043087,1999,Alfa Romeo,166,Petrol,Saloon,166,226,3.0 (2959cm³)
2006 Alfa Romeo 159 Dismantling cars 939A3.000,939A3.000,2006,Alfa Romeo,159,Diesel,Saloon,,,
2011 Alfa Romeo Giulietta Ultrasonic Sensor 1560960650,1560960650,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2010 Alfa Romeo MiTo Front Seat Belt 618744800,618744800,2010,Alfa Romeo,MiTo,Diesel,Hatchback,,120,1.6 (1598cm³)
2005 Alfa Romeo 147 Ignition Coil 1227030071,1227030071,2005,Alfa Romeo,147,Petrol,Hatchback,121,165,2.0 (1970cm³)
2007 Alfa Romeo Brera Rear Brake Caliper,,2007,Alfa Romeo,Brera,Diesel,Hatchback,154,210,2.4 (2387cm³)
2010 Alfa Romeo MiTo Electric Window Control Switch Button B569,B569,2010,Alfa Romeo,MiTo,Diesel,Hatchback,,120,1.6 (1598cm³)
2012 Alfa Romeo Giulietta Rear Upper Control Arm Wishbone,,2012,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2008 Alfa Romeo 147 Dismantling cars 937A2.000,937A2.000,2008,Alfa Romeo,147,Diesel,Hatchback,,,
2011 Alfa Romeo Giulietta Electric Window Control Switch Button 156094790,156094790,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2011 Alfa Romeo Giulietta Ignition Lock Barrel 61141100,61141100,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2011 Alfa Romeo Giulietta Rear Door Exterior Handle 22709,22709,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2009 Alfa Romeo MiTo Tow Hook Eye Ring -,-,2009,Alfa Romeo,MiTo,Petrol,Hatchback,,,1.4 (1368cm³)
2006 Alfa Romeo 159 Crankshaft Pulley -,-,2006,Alfa Romeo,159,Diesel,Saloon,147,200,2.4 (2387cm³)
2011 Alfa Romeo Giulietta Rear Door Window Regulator Motor 1060735,1060735,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
