Part Name,Manufacturer Part Number:,Year,Make,Model,Fuel type,Body type,kW,HP,Engine capacity
2008 Audi A8 Other Engine Part 4E0616860,4E0616860,2008,Audi,A8,Petrol,Saloon,331,450,5.2 (5204cm³)
2008 Audi A8 Other Body Part 4E0863766B,4E0863766B,2008,Audi,A8,Petrol,Saloon,331,450,5.2 (5204cm³)
2012 Audi TT Engine Breather Pipe Hose 06J103221,06J103221,2012,Audi,TT,Petrol,Coupe,155,211,2.0 (1984cm³)
2006 Audi A6 Engine Oil Sump 059103138R,059103138R,2006,Audi,A6,Diesel,Saloon,132,180,2.7 (2698cm³)
2005 Audi A6 Front Driveshaft 4F0407271J,4F0407271J,2005,Audi,A6,Petrol,Saloon,246,335,4.2 (4163cm³)
2007 Audi A6 Other Engine Part 079109180A,079109180A,2007,Audi,A6,Petrol,Estate,257,350,4.2 (4163cm³)
2007 Audi Q7 Other Control Module Unit 4F0907280E,4F0907280E,2007,Audi,Q7,Diesel,SUV,171,233,3.0 (2967cm³)
2007 Audi A4 Dismantling cars BRD,BRD,2007,Audi,A4,Diesel,Saloon,,,
2005 Audi A6 Cabin Air Flap Motor Actuator 0132801359,0132801359,2005,Audi,A6,Petrol,Saloon,246,335,4.2 (4163cm³)
2004 Audi A4 Rear Tail Light Bulb Socket 153947,153947,2004,Audi,A4,Petrol,Saloon,120,163,1.8 (1781cm³)
2001 Audi A3 Engine Control Module Unit 06A906033AE,06A906033AE,2001,Audi,A3,Petrol,Hatchback,,125,1.8 (1781cm³)
2014 Audi A5 Engine Water Coolant Pipe Hose 06L121075B,06L121075B,2014,Audi,A5,Petrol,Coupe,165,224,2.0 (1984cm³)
2006 Audi A3 Air Intake Pressure Sensor 06B906051,06B906051,2006,Audi,A3,Petrol,Hatchback,,115,1.6 (1598cm³)
2009 Audi A4 Engine Water Coolant Pipe Hose 1K0122101GG,1K0122101GG,2009,Audi,A4,Petrol,Saloon,118,160,1.8 (1798cm³)
2005 Siemens Audi A3 Engine Control Module Unit 06A906033EA,06A906033EA,2005,Audi,A3,Petrol,Hatchback,,102,1.6 (1595cm³)
2011 Audi A5 Air Intake Vacuum Valve Solenoid 037906283C,037906283C,2011,Audi,A5,Petrol,Coupe,132,180,2.0 (1984cm³)
2004 Audi A4 Engine Piston With Connecting Rod,,2004,Audi,A4,Petrol,Estate,110,150,2.0 (1984cm³)
2001 Audi A3 Engine Control Module Unit 06A906033AS,06A906033AS,2001,Audi,A3,Petrol,Hatchback,,125,1.8 (1781cm³)
2004 Audi A4 Complete Clutch Kit 058105266H,058105266H,2004,Audi,A4,Petrol,Saloon,,130,2.0 (1984cm³)
2009 Audi A4 Front Door Interior Handle 8K0837019,8K0837019,2009,Audi,A4,Diesel,Saloon,132,180,2.5 (2496cm³)
2016 Audi Q5 Other Engine Part 04L129968J,04L129968J,2016,Audi,Q5,Diesel,SUV,140,190,2.0 (1968cm³)
2009 Audi A6 Front Door Wiring Loom Harness 4F1971030,4F1971030,2009,Audi,A6,Diesel,Saloon,100,136,2.0 (1968cm³)
2002 Audi A4 Fuse Relay Control Module Unit --,--,2002,Audi,A4,Petrol,Saloon,120,163,1.8 (1781cm³)
2011 Audi R8 Spyder Air Intake Vacuum Valve Solenoid 037906283C,037906283C,2011,Audi,R8 Spyder,Petrol,Coupe,386,525,5.2 (5204cm³)
2008 Audi A3 Rear Bumper Holder Mounting Bracket 8P3807377B,8P3807377B,2008,Audi,A3,Petrol,Hatchback,147,200,2.0 (1984cm³)
