Part Name,Manufacturer Part Number:,Year,Make,Model,Fuel type,Body type,kW,HP,Engine capacity
2016 Honda Civic Engine Head Bolt,,2016,Honda,Civic,Diesel,Hatchback,103,140,2.2 (2204cm³)
2016 Honda Civic Oil Filter Housing Mounting Bracket,,2016,Honda,Civic,Diesel,Hatchback,103,140,2.2 (2204cm³)
2016 Honda Civic Brake Vacuum Pump 36300-RZ0-G010-M2,36300-RZ0-G010-M2,2016,Honda,Civic,Diesel,Hatchback,103,140,2.2 (2204cm³)
2016 Honda Civic Dismantling cars N16A1,N16A1,2016,Honda,Civic,Diesel,Hatchback,,120,1.6 (1597cm³)
2016 Honda Civic Fuel Injector Feed Pipe,,2016,Honda,Civic,Diesel,Hatchback,103,140,2.2 (2204cm³)
2016 Honda Civic Engine Piston With Connecting Rod,,2016,Honda,Civic,Diesel,Hatchback,,120,1.6 (1597cm³)
2016 Honda Civic Crankshaft Gear,,2016,Honda,Civic,Diesel,Hatchback,103,140,2.2 (2204cm³)
2016 Honda Civic Timing Chain Cap Cover,,2016,Honda,Civic,Diesel,Hatchback,103,140,2.2 (2204cm³)
2016 Honda Civic Crankshaft Oil Seal Gasket,,2016,Honda,Civic,Diesel,Hatchback,103,140,2.2 (2204cm³)
2016 Honda Civic Engine Piston With Connecting Rod,,2016,Honda,Civic,Diesel,Hatchback,,120,1.6 (1597cm³)
2016 Honda Civic Engine Oil Pump,,2016,Honda,Civic,Diesel,Hatchback,103,140,2.2 (2204cm³)
2016 Honda Civic Engine Oil Sump Strainer Pipe,,2016,Honda,Civic,Diesel,Hatchback,103,140,2.2 (2204cm³)
2016 Honda Civic Crankshaft Gear,,2016,Honda,Civic,Diesel,Hatchback,103,140,2.2 (2204cm³)
2016 Honda Civic Engine Piston With Connecting Rod,,2016,Honda,Civic,Diesel,Hatchback,103,140,2.2 (2204cm³)
2016 Honda Civic Water Coolant Pump,,2016,Honda,Civic,Diesel,Hatchback,103,140,2.2 (2204cm³)
2016 Honda Civic Engine Block,,2016,Honda,Civic,Diesel,Hatchback,103,140,2.2 (2204cm³)
2016 Honda Civic Engine Crankshaft,,2016,Honda,Civic,Diesel,Hatchback,,120,1.6 (1597cm³)

